X,Y,min,,max,diff in meV_max
0,-1688.351628,-1688.3602,,-1688.351553,2.06
1,-1688.35163,-1688.3602,,-1688.351553,2.11
2,-1688.35165,-1688.3602,,-1688.351553,2.64
3,-1688.351682,-1688.3602,,-1688.351553,3.51
4,-1688.351726,-1688.3602,,-1688.351553,4.72
5,-1688.351787,-1688.3602,,-1688.351553,6.36
6,-1688.351862,-1688.3602,,-1688.351553,8.41
7,-1688.351949,-1688.3602,,-1688.351553,10.78
8,-1688.352048,-1688.3602,,-1688.351553,13.47
9,-1688.352157,-1688.3602,,-1688.351553,16.44
10,-1688.352275,-1688.3602,,-1688.351553,19.66
11,-1688.352402,-1688.3602,,-1688.351553,23.11
12,-1688.352538,-1688.3602,,-1688.351553,26.79
13,-1688.352682,-1688.3602,,-1688.351553,30.73
14,-1688.352837,-1688.3602,,-1688.351553,34.93
15,-1688.353001,-1688.3602,,-1688.351553,39.4
16,-1688.353171,-1688.3602,,-1688.351553,44.04
17,-1688.353347,-1688.3602,,-1688.351553,48.82
18,-1688.353527,-1688.3602,,-1688.351553,53.72
19,-1688.353711,-1688.3602,,-1688.351553,58.73
20,-1688.353899,-1688.3602,,-1688.351553,63.85
21,-1688.354091,-1688.3602,,-1688.351553,69.06
22,-1688.354285,-1688.3602,,-1688.351553,74.34
23,-1688.354481,-1688.3602,,-1688.351553,79.67
24,-1688.354678,-1688.3602,,-1688.351553,85.03
25,-1688.354875,-1688.3602,,-1688.351553,90.4
26,-1688.355073,-1688.3602,,-1688.351553,95.78
27,-1688.35527,-1688.3602,,-1688.351553,101.15
28,-1688.355467,-1688.3602,,-1688.351553,106.52
29,-1688.355664,-1688.3602,,-1688.351553,111.87
30,-1688.35586,-1688.3602,,-1688.351553,117.21
31,-1688.356056,-1688.3602,,-1688.351553,122.54
32,-1688.356251,-1688.3602,,-1688.351553,127.85
33,-1688.356445,-1688.3602,,-1688.351553,133.11
34,-1688.356636,-1688.3602,,-1688.351553,138.31
35,-1688.356824,-1688.3602,,-1688.351553,143.42
36,-1688.357008,-1688.3602,,-1688.351553,148.45
37,-1688.357189,-1688.3602,,-1688.351553,153.38
38,-1688.357367,-1688.3602,,-1688.351553,158.2
39,-1688.35754,-1688.3602,,-1688.351553,162.91
40,-1688.357708,-1688.3602,,-1688.351553,167.5
41,-1688.357873,-1688.3602,,-1688.351553,171.97
42,-1688.358032,-1688.3602,,-1688.351553,176.31
43,-1688.358187,-1688.3602,,-1688.351553,180.53
44,-1688.358337,-1688.3602,,-1688.351553,184.6
45,-1688.358482,-1688.3602,,-1688.351553,188.54
46,-1688.358621,-1688.3602,,-1688.351553,192.33
47,-1688.358754,-1688.3602,,-1688.351553,195.96
48,-1688.358882,-1688.3602,,-1688.351553,199.44
49,-1688.359004,-1688.3602,,-1688.351553,202.75
50,-1688.35912,-1688.3602,,-1688.351553,205.9
51,-1688.359229,-1688.3602,,-1688.351553,208.89
52,-1688.359333,-1688.3602,,-1688.351553,211.71
53,-1688.359431,-1688.3602,,-1688.351553,214.37
54,-1688.359522,-1688.3602,,-1688.351553,216.86
55,-1688.359608,-1688.3602,,-1688.351553,219.18
56,-1688.359686,-1688.3602,,-1688.351553,221.32
57,-1688.359759,-1688.3602,,-1688.351553,223.29
58,-1688.359824,-1688.3602,,-1688.351553,225.07
59,-1688.359883,-1688.3602,,-1688.351553,226.68
60,-1688.359935,-1688.3602,,-1688.351553,228.1
61,-1688.359981,-1688.3602,,-1688.351553,229.34
62,-1688.36002,-1688.3602,,-1688.351553,230.41
63,-1688.360053,-1688.3602,,-1688.351553,231.3
64,-1688.360079,-1688.3602,,-1688.351553,232.02
65,-1688.3601,-1688.3602,,-1688.351553,232.58
66,-1688.360115,-1688.3602,,-1688.351553,232.98
67,-1688.360124,-1688.3602,,-1688.351553,233.22
68,-1688.360127,-1688.3602,,-1688.351553,233.32
69,-1688.360126,-1688.3602,,-1688.351553,233.27
70,-1688.360119,-1688.3602,,-1688.351553,233.09
71,-1688.360107,-1688.3602,,-1688.351553,232.77
72,-1688.360091,-1688.3602,,-1688.351553,232.32
73,-1688.36007,-1688.3602,,-1688.351553,231.75
74,-1688.360044,-1688.3602,,-1688.351553,231.07
75,-1688.360016,-1688.3602,,-1688.351553,230.28
76,-1688.359984,-1688.3602,,-1688.351553,229.41
77,-1688.359949,-1688.3602,,-1688.351553,228.48
78,-1688.359914,-1688.3602,,-1688.351553,227.51
79,-1688.359877,-1688.3602,,-1688.351553,226.5
80,-1688.359839,-1688.3602,,-1688.351553,225.47
81,-1688.3598,-1688.3602,,-1688.351553,224.41
82,-1688.359761,-1688.3602,,-1688.351553,223.36
